molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2178272,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc(C(F)(F)F)c2)cn1,active,543.513,5.279240000000002,2.0,8.0,8.779891911959945
CHEMBL2178271,Cc1ccc(C(=O)Nc2ccc(CN3C[C@H]4CN(C)C[C@H]4C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,601.6370000000001,4.778520000000003,2.0,8.0,9.387216143280265
CHEMBL2178270,Cc1ccc(C(=O)Nc2ccc(CN3CCC(N(C)C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,603.653,5.311120000000004,2.0,8.0,9.481486060122112
CHEMBL2178269,Cc1ccc(C(=O)Nc2ccc(CN3CCC(N4CCN(C)CC4)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,658.733,4.996920000000005,2.0,9.0,9.2839966563652
CHEMBL2178268,Cc1ccc(C(=O)Nc2ccc(CN3CCCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,589.626,4.922620000000004,2.0,8.0,9.346787486224656
CHEMBL2178267,Cc1ccc(C(=O)Nc2ccc(CN3CCOCC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,562.556,4.617320000000003,2.0,8.0,8.847711655616944
CHEMBL2177650,Cc1ccc(C(=O)Nc2ccc(CN3CCCCC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,560.584,5.771020000000006,2.0,7.0,8.59176003468815
CHEMBL2177649,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@@H](N(C)C)C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,589.626,4.921020000000004,2.0,8.0,9.346787486224656
CHEMBL2177648,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,589.626,4.921020000000004,2.0,8.0,9.2839966563652
CHEMBL2177647,Cc1ccc(C(=O)Nc2ccc(CN3CCCC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,546.557,5.380920000000005,2.0,7.0,9.142667503568731
CHEMBL2177646,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]nc(C)c3c2)nn1,active,589.626,4.840940000000003,2.0,8.0,9.2839966563652
CHEMBL2177645,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,active,575.599,4.5325200000000025,2.0,8.0,9.221848749616356
CHEMBL2177644,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2ccc3[nH]ncc3c2)nn1,active,574.6110000000001,5.137520000000004,2.0,7.0,7.749579997691106
CHEMBL2177643,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2ccc3[nH]ccc3c2)nn1,intermediate,573.623,5.742520000000005,2.0,6.0,6.519993057042849
CHEMBL2177642,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ccc3c2)nn1,active,574.6110000000001,5.137520000000004,2.0,7.0,9.161150909262744
CHEMBL2177641,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3ncnn3c2)nn1,active,576.587,3.698920000000002,1.0,10.0,7.645891560852599
CHEMBL2177640,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(N3CCCCC3)nc2)nn1,inactive,619.6959999999998,5.041520000000004,1.0,9.0,5.78807891569149
CHEMBL2177639,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(NCc3ccccc3)nc2)nn1,active,641.7020000000001,5.663320000000005,2.0,9.0,7.718966632752273
CHEMBL2177638,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(NC3CCCCC3)nc2)nn1,active,633.7229999999997,5.795820000000005,2.0,9.0,7.892790030352131
CHEMBL2177637,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(NC(C)C)nc2)nn1,active,593.658,4.871520000000004,2.0,9.0,8.224753740259764
CHEMBL2177636,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(NC3CC3)nc2)nn1,active,591.6419999999999,4.625520000000003,2.0,9.0,8.995678626217357
CHEMBL2177635,CCNc1ncc(-c2cn(-c3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)nn2)cn1,active,579.6310000000002,4.483020000000004,2.0,9.0,8.928117992693874
CHEMBL2177634,CNc1ncc(-c2cn(-c3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)nn2)cn1,active,565.6040000000002,4.092920000000004,2.0,9.0,9.267606240177031
CHEMBL2177633,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc(N)nc2)nn1,active,551.5770000000001,3.633420000000001,2.0,9.0,9.10790539730952
CHEMBL2177632,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3ccccn23)nn1,active,574.6110000000001,4.908920000000005,1.0,8.0,9.2839966563652
CHEMBL2177631,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnn3cccnc23)nn1,active,575.599,4.303920000000003,1.0,9.0,8.647817481888637
CHEMBL2177630,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3ncccn23)nn1,active,575.599,4.303920000000002,1.0,9.0,8.46344155742847
CHEMBL2177629,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3cccnn23)nn1,active,575.599,4.303920000000003,1.0,9.0,8.573488738635424
CHEMBL1214141,Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1,active,547.541,6.079540000000005,2.0,6.0,8.903089986991944
CHEMBL2312185,CNc1nc(C)c(-c2nc(Nc3cccc(N4CCCNCC4)c3)ncc2C#N)s1,inactive,420.54600000000016,3.3652000000000015,3.0,9.0,5.301029995663981
CHEMBL2375890,COc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,inactive,465.4350000000001,5.561900000000004,2.0,6.0,5.384543410452051
CHEMBL2375898,COc1ccc(C(=O)Nc2ccncc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,398.4260000000001,3.938100000000002,2.0,7.0,5.55989416096334
CHEMBL2375975,COc1ccc(C(=O)Nc2ccc(OCCN3CCCCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,524.6250000000002,5.407800000000004,2.0,8.0,5.954512724652715
CHEMBL2375974,COc1ccc(C(=O)Nc2ccc(OCCN3CCCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,510.59800000000024,5.017700000000004,2.0,8.0,6.4558326996826825
CHEMBL2375901,COc1ccc(C(=O)Nc2nccs2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,404.45500000000015,3.9996000000000027,2.0,8.0,6.531150714458887
CHEMBL2375976,COc1ccc(C(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,526.5970000000002,4.254100000000004,2.0,9.0,7.198527686478529
CHEMBL2375895,COc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,active,431.88300000000015,5.196500000000003,2.0,6.0,7.458795309316741
CHEMBL2375977,COc1ccc(C(=O)Nc2ccc(OCCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,540.6240000000003,4.644200000000004,2.0,9.0,8.197910742118268
CHEMBL2375891,COc1ccc(C(=O)Nc2ccc(Br)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,476.3340000000001,5.305600000000003,2.0,6.0,8.319664486585436
CHEMBL2375889,COc1ccc(C(=O)Nc2ccc(F)c(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,active,449.8730000000001,5.335600000000003,2.0,6.0,8.325138859262188
CHEMBL2375900,COc1ccc(C(=O)Nc2ncccn2)cc1Nc1nccc(-c2cccnc2)n1,active,399.4140000000001,3.333100000000001,2.0,8.0,8.422508200162774
CHEMBL2375892,COc1ccc(C(=O)Nc2cccc(F)c2)cc1Nc1nccc(-c2cccnc2)n1,active,415.4280000000001,4.6822000000000035,2.0,6.0,8.493494967595128
CHEMBL2375972,COc1ccc(C(=O)Nc2ccc(OCCN(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,484.5600000000001,4.483500000000003,2.0,8.0,8.630784142589857
CHEMBL2375973,CCN(CC)CCOc1ccc(NC(=O)c2ccc(OC)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,active,512.6140000000003,5.2637000000000045,2.0,8.0,8.829738284605043
CHEMBL2375971,COc1ccc(C(=O)Nc2ccc(OCCCN(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,498.58700000000016,4.873600000000004,2.0,8.0,9.2839966563652
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,active,529.5260000000001,6.355840000000005,2.0,7.0,9.481486060122112
CHEMBL2386595,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,intermediate,496.6333053340002,4.590320000000003,2.0,7.0,6.166215625343521
CHEMBL2386595,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,intermediate,496.6333053340002,4.590320000000003,2.0,7.0,6.360513510731414
